id,title,public_type,specific_type,current_collection,proposed_collections,music,confidence,rationale,source_path
memory,Memory,concept,concept,research,research,no,medium,"general cybernetics/computation concept; digital sampling is one incidental example among several (state machine, Turing machine).",content/library/entry/concept/memory/index.md
phase,Phase,concept,concept,research,research,no,medium,"general waveform/signal-relationship concept; stereo imaging is one incidental example among several (quadrature, PLL).",content/library/entry/concept/phase/index.md
phase-modulation,Phase modulation (synthesis),concept,concept,research,research;music,yes,high,explicit synthesis technique used in FM-branded digital synthesizers.,content/library/entry/concept/phase-modulation/index.md
physical-modeling,Physical modeling (synthesis),concept,concept,research,research;music,yes,high,explicit instrument-synthesis technique simulating real sound-producing systems.,content/library/entry/concept/physical-modeling/index.md
pid-controller,PID controller,concept,concept,research,research,no,high,"general feedback-control algorithm developed for ship steering; no musical content, matches the prompt's own calibration example.",content/library/entry/concept/pid-controller/index.md
pll,Phase-locked loop (PLL),concept,concept,research,research;music,yes,medium,"primarily a radio/telecom circuit, but the entry names a concrete musical application: pitch-tracking and sync-signal generation in analog synthesizers.",content/library/entry/concept/pll/index.md
quadrature,Quadrature,concept,concept,research,research,no,medium,general signal-relationship concept; stereo/spatial audio encoding is one incidental example among several.,content/library/entry/concept/quadrature/index.md
serialism,Serialism,concept,concept,research,research;music,yes,high,"Schoenberg's twelve-tone compositional technique, foundational 20th-century music theory.",content/library/entry/concept/serialism/index.md
servo,Servo (servomechanism),concept,concept,research,research,no,high,"general feedback control mechanism (autopilot, camera autofocus); no musical content.",content/library/entry/concept/servo/index.md
state-machine,State machine,concept,concept,research,research,no,medium,"general computation-theory concept; a synthesizer's envelope stages is one incidental example among several (vending machine, Turing machine).",content/library/entry/concept/state-machine/index.md
subtractive-synthesis,Subtractive synthesis,concept,concept,research,research;music,yes,high,core East Coast synthesizer-design technique.,content/library/entry/concept/subtractive-synthesis/index.md
total-serialism,Total Serialism,concept,concept,research,research;music,yes,high,"compositional technique extending serialism (Messiaen, Boulez, Stockhausen).",content/library/entry/concept/total-serialism/index.md
tuple,Tuple,concept,concept,research,research,no,high,pure math/CS data-structure concept; no musical content.,content/library/entry/concept/tuple/index.md
turing-machine,Turing machine,concept,concept,research,research,no,high,computation-theory abstraction; no musical content.,content/library/entry/concept/turing-machine/index.md
variety,Variety,concept,concept,research,research,no,high,Ashby's cybernetics law of requisite variety; no musical content.,content/library/entry/concept/variety/index.md
vector,Vector,concept,concept,research,research,no,high,"math/physics concept; 'control data' is a generic closing mention, no musical framing.",content/library/entry/concept/vector/index.md
viable-system-model,Viable System Model,concept,concept,research,research,no,high,"Stafford Beer's organizational model, applied to Project Cybersyn/economics; no musical content.",content/library/entry/concept/viable-system-model/index.md
wavefolding,Wavefolding,concept,concept,research,research;music,yes,high,core West Coast synthesis technique central to Buchla/Serge instrument design.,content/library/entry/concept/wavefolding/index.md
wavetable-synthesis,Wavetable synthesis,concept,concept,research,research;music,yes,high,core synthesis technique behind the PPG Wave lineage.,content/library/entry/concept/wavetable-synthesis/index.md
cybernetic-serendipity,Cybernetic Serendipity,event,event,research,research,no,high,"[human-adjudicated at review checkpoint] a landmark cybernetic/computer-art exhibition that included algorithmic music systems and electronic-music equipment, but as one facet among many non-musical works (visual art, poetry, robotics, sculpture) — genuinely mixed; needs editorial judgment on whether music was 'substantial' or merely one exhibited strand.",content/library/entry/event/cybernetic-serendipity/index.md
expo-70,Expo '70,event,event,research,research,no,medium,"a general World's Fair; its musical relevance is entirely inherited from the separately-catalogued Pepsi Pavilion sound-system entries, not from the fair itself, which the entry documents as the encompassing occasion only.",content/library/entry/event/expo-70/index.md
amm,AMM,group,group,research,research;music,yes,high,Pioneering British electroacoustic free-improvisation group.,content/library/entry/group/amm/index.md
aube,Aube,group,group,research,research;music,yes,high,Prolific Japanese noise project built from single manipulated sound sources.,content/library/entry/group/aube/index.md
borbetomagus,Borbetomagus,group,group,research,research;music,yes,high,Free-jazz/noise trio influential on the American and Japanese noise underground.,content/library/entry/group/borbetomagus/index.md
cccc,C.C.C.C.,group,group,research,research;music,yes,high,"Core Japanese noise quartet (C.C.C.C.), key act of the Japanoise scene.",content/library/entry/group/cccc/index.md
cluster,Cluster,group,group,research,research;music,yes,high,"German electronic duo central to krautrock/ambient electronics, collaborated with Eno.",content/library/entry/group/cluster/index.md
coil,Coil,group,group,research,research;music,yes,high,Influential British experimental group spanning industrial/dark ambient.,content/library/entry/group/coil/index.md
composers-inside-electronics,Composers Inside Electronics,group,group,research,research;music,yes,high,David Tudor's live-electronics ensemble realizing Rainforest IV.,content/library/entry/group/composers-inside-electronics/index.md
devo,Devo,group,group,research,research;music,yes,high,"New wave band, Eno-produced debut, foundational American new wave document.",content/library/entry/group/devo/index.md
faust,Faust,group,group,research,research;music,yes,high,Krautrock pioneers of tape-collage studio composition.,content/library/entry/group/faust/index.md
gastr-del-sol,Gastr del Sol,group,group,research,research;music,yes,high,Chicago experimental duo (Grubbs/O'Rourke).,content/library/entry/group/gastr-del-sol/index.md
government-alpha,Government Alpha,group,group,research,research;music,yes,high,Long-running Japanese noise project.,content/library/entry/group/government-alpha/index.md
gruppo-di-improvvisazione-nuova-consonanza,Gruppo di Improvvisazione Nuova Consonanza,group,group,research,research;music,yes,high,"Rome free-improvisation collective, among the first experimental-composer collectives.",content/library/entry/group/gruppo-di-improvvisazione-nuova-consonanza/index.md
hands-to,Hands To,group,group,research,research;music,yes,high,Jeph Jerman's sound project built from found objects and tape.,content/library/entry/group/hands-to/index.md
harmonia,Harmonia,group,group,research,research;music,yes,high,German electronic trio; recorded with Brian Eno at Forst.,content/library/entry/group/harmonia/index.md
illusion-of-safety,Illusion of Safety,group,group,research,research;music,yes,high,Long-running Chicago post-industrial sound project.,content/library/entry/group/illusion-of-safety/index.md
incapacitants,Incapacitants,group,group,research,research;music,yes,high,Japanese noise duo pursuing 'hard'/'pure' noise via feedback and vocals.,content/library/entry/group/incapacitants/index.md
k2,K2,group,group,research,research;music,yes,high,Japanese noise project built from metal and machinery recordings.,content/library/entry/group/k2/index.md
kraftwerk,Kraftwerk,group,group,research,research;music,yes,high,"Foundational electronic group for synthpop, techno, and electronic music broadly.",content/library/entry/group/kraftwerk/index.md
league-of-automatic-music-composers,League of Automatic Music Composers,group,group,research,research;music,yes,high,Pioneering networked-computer live-music ensemble.,content/library/entry/group/league-of-automatic-music-composers/index.md
louis-and-bebe-barron,Louis and Bebe Barron,group,group,research,research;music,yes,high,"American electronic-music pioneers, built circuits as musical/sonic material.",content/library/entry/group/louis-and-bebe-barron/index.md
macronympha,Macronympha,group,group,research,research;music,yes,high,"American harsh-noise project, long-running cassette-noise underground act.",content/library/entry/group/macronympha/index.md
masonna,Masonna,group,group,research,research;music,yes,high,Osaka noise project known for destructive live performance.,content/library/entry/group/masonna/index.md
mb,MB,group,group,research,research;music,yes,high,Maurizio Bianchi's industrial/noise recording project.,content/library/entry/group/mb/index.md
merzbow,Merzbow,group,group,research,research;music,yes,high,One of the most prolific and important noise-music projects.,content/library/entry/group/merzbow/index.md
mev,MEV,group,group,research,research;music,yes,high,"Musica Elettronica Viva, foundational live electronic improvisation group.",content/library/entry/group/mev/index.md
microstoria,Microstoria,group,group,research,research;music,yes,high,Experimental electronic duo (Popp/St. Werner) refining glitch into ambient work.,content/library/entry/group/microstoria/index.md
monde-bruits,Monde Bruits,group,group,research,research;music,yes,high,Early Japanese noise scene project.,content/library/entry/group/monde-bruits/index.md
morphogenesis-band,Morphogenesis,group,group,research,research;music,yes,high,British free-improvisation/noise group using self-built instruments.,content/library/entry/group/morphogenesis-band/index.md
mother-mallard,Mother Mallard's Portable Masterpiece Company,group,group,research,research;music,yes,high,"Early live synthesizer ensemble, close Moog collaborators.",content/library/entry/group/mother-mallard/index.md
music-improvisation-company,Music Improvisation Company,group,group,research,research;music,yes,high,London free-improvisation quartet pairing guitar/sax with live electronics.,content/library/entry/group/music-improvisation-company/index.md
negativland,Negativland,group,group,research,research;music,yes,high,Experimental tape-collage/culture-jamming musical collective.,content/library/entry/group/negativland/index.md
neu,Neu!,group,group,research,research;music,yes,high,Krautrock duo; originated the influential 'motorik' beat.,content/library/entry/group/neu/index.md
nurse-with-wound,Nurse With Wound,group,group,research,research;music,yes,high,"Foundational industrial/avant-garde project, hugely influential discography and 'NWW List'.",content/library/entry/group/nurse-with-wound/index.md
omit,Omit,group,group,research,research;music,yes,high,Electronic composer producing psychoacoustic recordings.,content/library/entry/group/omit/index.md
organum,Organum,group,group,research,research;music,yes,high,David Jackman's long-running ritualistic drone project.,content/library/entry/group/organum/index.md
p16d4,P16.D4,group,group,research,research;music,yes,high,German industrial/tape-manipulation and musique concrète group.,content/library/entry/group/p16d4/index.md
painjerk,Pain Jerk,group,group,research,research;music,yes,high,"Long-running Japanese noise project, leading exponent of noise's 'dynamic' style.",content/library/entry/group/painjerk/index.md
pan-sonic,Pan Sonic,group,group,research,research;music,yes,high,Finnish electronic duo working with custom-built oscillators/pulse generators.,content/library/entry/group/pan-sonic/index.md
pbk,PBK,group,group,research,research;music,yes,high,Noise/drone/electroacoustic composition project.,content/library/entry/group/pbk/index.md
ramleh,Ramleh,group,group,research,research;music,yes,high,"UK power-electronics/noise-rock group, first wave of British power electronics.",content/library/entry/group/ramleh/index.md
smegma,Smegma,group,group,research,research;music,yes,high,Long-running LAFMS-affiliated noise/free-improvisation group.,content/library/entry/group/smegma/index.md
snd-band,SND,group,group,research,research;music,yes,high,Sheffield duo pioneering algorithmic click-based digital minimalism.,content/library/entry/group/snd-band/index.md
solmania,Solmania,group,group,research,research;music,yes,high,Osaka noise project built around self-built multi-necked guitars.,content/library/entry/group/solmania/index.md
sonic-arts-union,Sonic Arts Union,group,group,research,research;music,yes,high,"Live-electronics collective (Ashley, Behrman, Lucier, Mumma).",content/library/entry/group/sonic-arts-union/index.md
space-machine,Space Machine,group,group,research,research;music,yes,high,Masonna's analogue electronic cosmic-sound side project.,content/library/entry/group/space-machine/index.md
tangerine-dream,Tangerine Dream,group,group,research,research;music,yes,high,Pioneers of sequencer-driven Berlin School electronic music.,content/library/entry/group/tangerine-dream/index.md
the-haters,The Haters,group,group,research,research;music,yes,high,Long-running noise performance/destruction-art project.,content/library/entry/group/the-haters/index.md
the-new-blockaders,The New Blockaders,group,group,research,research;music,yes,high,"Widely cited as the first true noise record of the modern era, directly influential on Japanoise scene.",content/library/entry/group/the-new-blockaders/index.md
theatre-of-eternal-music,Theatre of Eternal Music,group,group,research,research;music,yes,high,La Monte Young's foundational drone ensemble (later The Dream Syndicate).,content/library/entry/group/theatre-of-eternal-music/index.md
throbbing-gristle,Throbbing Gristle,group,group,research,research;music,yes,high,"Pioneers of industrial music, founded Industrial Records.",content/library/entry/group/throbbing-gristle/index.md
violent-onsen-geisha,Violent Onsen Geisha,group,group,research,research;music,yes,high,Long-running Japanese noise/experimental-pop recording project.,content/library/entry/group/violent-onsen-geisha/index.md
voice-crack,Voice Crack,group,group,research,research;music,yes,high,Swiss duo performing with 'cracked' everyday electronics.,content/library/entry/group/voice-crack/index.md
wolf-eyes,Wolf Eyes,group,group,research,research;music,yes,high,Michigan noise group with extensive collaborations and label ties across the noise scene.,content/library/entry/group/wolf-eyes/index.md
american-tapes,American Tapes,organization,organization,research,research;music,yes,high,Detroit noise/drone cassette label central to that scene's release history.,content/library/entry/organization/american-tapes/index.md
arp-instruments,ARP Instruments,organization,organization,research,research;music,yes,high,"Major synthesizer manufacturer (ARP 2500/2600), core to analog synth history.",content/library/entry/organization/arp-instruments/index.md
augmented-instruments,Augmented Instruments,organization,organization,research,research;music,yes,high,"[human-adjudicated at review checkpoint] Makes the Bela embedded-audio platform, descended from an instrument-building lab, but the entry describes general embedded audio/sensor processing rather than an explicitly musical role.",content/library/entry/organization/augmented-instruments/index.md
bbc-radiophonic-workshop,BBC Radiophonic Workshop,organization,organization,research,research;music,yes,high,"Foundational BBC electronic-music production unit (Oram, Derbyshire).",content/library/entry/organization/bbc-radiophonic-workshop/index.md
bell-labs,Bell Labs,organization,organization,research,research;music,yes,high,"Entry centers on Max Mathews' MUSIC software, the first computer music program, and resident composers Tenney/Spiegel.",content/library/entry/organization/bell-labs/index.md
biological-computer-laboratory,Biological Computer Laboratory,organization,organization,research,research,no,high,Cybernetics/cognition research lab; no musical activity described.,content/library/entry/organization/biological-computer-laboratory/index.md
blacet,Blacet Research,organization,organization,research,research;music,yes,high,DIY modular synthesizer manufacturer serving the electronic-music-building community.,content/library/entry/organization/blacet/index.md
broken-flag,Broken Flag,organization,organization,research,research;music,yes,high,UK power-electronics label built to keep Ramleh's music catalog in circulation.,content/library/entry/organization/broken-flag/index.md
buchla-and-associates,Buchla & Associates,organization,organization,research,research;music,yes,high,Defining West Coast modular synthesizer manufacturer (100/200 series).,content/library/entry/organization/buchla-and-associates/index.md
cambridge-street-records,Cambridge Street Records,organization,organization,research,research;music,yes,high,Barry Truax's own label releasing his electroacoustic compositions.,content/library/entry/organization/cambridge-street-records/index.md
ccrma,CCRMA,organization,organization,research,research;music,yes,high,Stanford's leading computer music and acoustics research center.,content/library/entry/organization/ccrma/index.md
cemamu,CEMAMu,organization,organization,research,research;music,yes,high,Xenakis's music/mathematics research center; birthplace of the UPIC system.,content/library/entry/organization/cemamu/index.md
center-for-experimental-music-and-intermedia,Center for Experimental Music and Intermedia (CEMI),organization,organization,research,research;music,yes,high,University tape-music studio and electronic music center founded by composer Merrill Ellis.,content/library/entry/organization/center-for-experimental-music-and-intermedia/index.md
claem,CLAEM,organization,organization,research,research;music,yes,high,Latin American electronic-music composition institute founded by Ginastera.,content/library/entry/organization/claem/index.md
club-d-essai,Club d'Essai,organization,organization,research,research;music,yes,high,Where Pierre Schaeffer began musique concrète; direct GRM ancestor.,content/library/entry/organization/club-d-essai/index.md
cnmat,CNMAT,organization,organization,research,research;music,yes,high,Computer music research center that co-developed Open Sound Control.,content/library/entry/organization/cnmat/index.md
columbia-princeton-electronic-music-center,Columbia-Princeton Electronic Music Center,organization,organization,research,research;music,yes,high,"Oldest US electroacoustic music center, built around the RCA Mark II synthesizer.",content/library/entry/organization/columbia-princeton-electronic-music-center/index.md
columbia-university-computer-music-center,Columbia University Computer Music Center,organization,organization,research,research;music,yes,high,"Continuing computer/electroacoustic music research center, successor to Columbia-Princeton.",content/library/entry/organization/columbia-university-computer-music-center/index.md
cramps-records,Cramps Records,organization,organization,research,research;music,yes,high,Milan avant-garde label whose Nova Musicha series released Cage and Fluxus-adjacent composers.,content/library/entry/organization/cramps-records/index.md
cycling-74,Cycling '74,organization,organization,research,research;music,yes,high,"Commercial developer of Max/MSP, foundational computer-music software.",content/library/entry/organization/cycling-74/index.md
danish-radio-electronic-music-studio,Danish Radio Electronic Music Studio,organization,organization,research,research;music,yes,high,Else Marie Pade's electronic-music studio producing tape-music compositions.,content/library/entry/organization/danish-radio-electronic-music-studio/index.md
e-mu-systems,E-mu Systems,organization,organization,research,research;music,yes,high,"Sampling instrument manufacturer (Emulator, SP-1200) central to sampling's musical history.",content/library/entry/organization/e-mu-systems/index.md
elektronmusikstudion-ems,Elektronmusikstudion (EMS),organization,organization,research,research;music,yes,high,Swedish national electroacoustic composition studio.,content/library/entry/organization/elektronmusikstudion-ems/index.md
ems,Electronic Music Studios (EMS),organization,organization,research,research;music,yes,high,"British synthesizer manufacturer (VCS3, Synthi 100) used widely in popular and experimental music.",content/library/entry/organization/ems/index.md
ensoniq,Ensoniq,organization,organization,research,research;music,yes,high,"Synthesizer/sampler manufacturer (Mirage, ESQ-1).",content/library/entry/organization/ensoniq/index.md
erstwhile-records,Erstwhile Records,organization,organization,research,research;music,yes,high,Label defining and documenting electroacoustic improvisation.,content/library/entry/organization/erstwhile-records/index.md
eventide,Eventide,organization,organization,research,research;music,yes,medium,Audio processor manufacturer whose Harmonizer became a foundational musical production/performance tool.,content/library/entry/organization/eventide/index.md
experimental-studio-of-czechoslovak-radio,Experimental Studio of Czechoslovak Radio,organization,organization,research,research;music,yes,high,Bratislava electroacoustic music studio in the lineage of European radio studios.,content/library/entry/organization/experimental-studio-of-czechoslovak-radio/index.md
fairlight-instruments,Fairlight,organization,organization,research,research;music,yes,high,"Built the Fairlight CMI, first polyphonic digital sampling synthesizer.",content/library/entry/organization/fairlight-instruments/index.md
fax-records,FAX +49-69/450464,organization,organization,research,research;music,yes,high,Pete Namlook's prolific ambient/electronic music label.,content/library/entry/organization/fax-records/index.md
for4ears,For4Ears,organization,organization,research,research;music,yes,high,Label documenting free improvisation and electroacoustic recordings.,content/library/entry/organization/for4ears/index.md
frog-peak,Frog Peak Music,organization,organization,research,research;music,yes,high,Composers' collective publishing experimental scores and music software.,content/library/entry/organization/frog-peak/index.md
grm,Groupe de Recherches Musicales (GRM),organization,organization,research,research;music,yes,high,Central French institution for musique concrète and electroacoustic research.,content/library/entry/organization/grm/index.md
gross-records,G.R.O.S.S. Records,organization,organization,research,research;music,yes,high,Label releasing Aube's noise recordings and others internationally.,content/library/entry/organization/gross-records/index.md
groupe-de-musique-experimentale-de-bourges,Groupe de Musique Expérimentale de Bourges (GMEB),organization,organization,research,research;music,yes,high,French electroacoustic institution building its own diffusion/performance electronics.,content/library/entry/organization/groupe-de-musique-experimentale-de-bourges/index.md
groupe-de-recherche-de-musique-concrete,Groupe de Recherche de Musique Concrète (GRMC),organization,organization,research,research;music,yes,high,"Schaeffer's formative musique concrète research group, direct GRM predecessor.",content/library/entry/organization/groupe-de-recherche-de-musique-concrete/index.md
hanson-records,Hanson Records,organization,organization,research,research;music,yes,high,Aaron Dilloway's noise/no-wave label and later record shop.,content/library/entry/organization/hanson-records/index.md
ina,Institut National de l'Audiovisuel (INA),organization,organization,research,research,no,medium,"General French audiovisual-archive institute; its tie to music is purely administrative (houses GRM), with no musical activity of its own described.",content/library/entry/organization/ina/index.md
incus-records,Incus Records,organization,organization,research,research;music,yes,high,"First musician-owned independent UK label, documenting British free improvisation for decades.",content/library/entry/organization/incus-records/index.md
institut-international-de-musique-electroacoustique-de-bourges,Institut International de Musique Électroacoustique de Bourges (IMEB),organization,organization,research,research;music,yes,high,National Center for Musical Creation continuing Bourges's electroacoustic festival and competition.,content/library/entry/organization/institut-international-de-musique-electroacoustique-de-bourges/index.md
institute-of-sonology,Institute of Sonology,organization,organization,research,research;music,yes,high,Leading electronic/computer music research and teaching institute.,content/library/entry/organization/institute-of-sonology/index.md
instituto-torcuato-di-tella,Instituto Torcuato Di Tella,organization,organization,research,research,no,high,"[human-adjudicated at review checkpoint] Major Buenos Aires cultural institute spanning science, theater, and visual arts as well as music; its Library relevance runs mainly through hosting CLAEM rather than being itself a musical body.",content/library/entry/organization/instituto-torcuato-di-tella/index.md
ipem,IPEM,organization,organization,research,research;music,yes,high,Institute for Psychoacoustics and Electronic Music; ~470 compositions realized there.,content/library/entry/organization/ipem/index.md
ircam,IRCAM,organization,organization,research,research;music,yes,high,Leading Paris institute for music and acoustic computer-music research.,content/library/entry/organization/ircam/index.md
klein-hummel,Klein + Hummel,organization,organization,research,research,no,medium,"Professional measurement equipment and studio-monitor manufacturer; a playback/monitoring maker, not a musical instrument or creative tool, with no musical role described.",content/library/entry/organization/klein-hummel/index.md
korg,Korg,organization,organization,research,research;music,yes,high,"Major Japanese synthesizer manufacturer (MS-20, Polysix, Wavestation).",content/library/entry/organization/korg/index.md
krohn-hite,Krohn-Hite Corporation,organization,organization,research,research,no,high,"Test-and-measurement instrument manufacturer explicitly noted as appearing in SARC's manual archive, not a musical entity.",content/library/entry/organization/krohn-hite/index.md
kurzweil,Kurzweil Music Systems,organization,organization,research,research;music,yes,high,Synthesizer manufacturer; K250 was first instrument to convincingly sample acoustic piano.,content/library/entry/organization/kurzweil/index.md
lafms,LAFMS,organization,organization,research,research;music,yes,high,"Los Angeles Free Music Society, an influential noise/free-music collective.",content/library/entry/organization/lafms/index.md
les-ateliers-upic,Les Ateliers UPIC,organization,organization,research,research;music,yes,high,Ran production and training on Xenakis's UPIC graphic composition system.,content/library/entry/organization/les-ateliers-upic/index.md
lexicon,Lexicon,organization,organization,research,research;music,yes,medium,Digital reverb/delay manufacturer whose processors became a standard musical production tool ('adding some Lexicon').,content/library/entry/organization/lexicon/index.md
line-imprint,Line,organization,organization,research,research;music,yes,high,Label publishing minimalist sound-art and composition editions.,content/library/entry/organization/line-imprint/index.md
mego,Mego,organization,organization,research,research;music,yes,high,Vienna label foundational to glitch and digital noise music.,content/library/entry/organization/mego/index.md
mille-plateaux,Mille Plateaux,organization,organization,research,research;music,yes,high,"German label central to philosophy-inflected glitch, microsound, and IDM.",content/library/entry/organization/mille-plateaux/index.md
mills-center-for-contemporary-music,Mills Center for Contemporary Music,organization,organization,research,research;music,yes,high,Successor to the SF Tape Music Center; long-running experimental composition hub.,content/library/entry/organization/mills-center-for-contemporary-music/index.md
moog-music,Moog Music,organization,organization,research,research;music,yes,high,Robert Moog's voltage-controlled synthesizer manufacturer.,content/library/entry/organization/moog-music/index.md
new-england-digital,New England Digital,organization,organization,research,research;music,yes,high,"Built the Synclavier, first commercial real-time digital synthesis instrument.",content/library/entry/organization/new-england-digital/index.md
nhk-electronic-music-studio,NHK Electronic Music Studio,organization,organization,research,research;music,yes,high,"Tokyo broadcaster's electronic music studio, early Japanese electronic-music landmark.",content/library/entry/organization/nhk-electronic-music-studio/index.md
nonlinear-labs,Nonlinear Labs,organization,organization,research,research;music,yes,high,Builds expressive digital musical instruments (C15 keyboard synthesizer).,content/library/entry/organization/nonlinear-labs/index.md
oberheim-electronics,Oberheim Electronics,organization,organization,research,research;music,yes,high,"Synthesizer manufacturer (SEM, DMX, Matrix-12).",content/library/entry/organization/oberheim-electronics/index.md
oramics-studios,Oramics Studios,organization,organization,research,research;music,yes,high,"Daphne Oram's independent electronic-composition studio, Britain's first.",content/library/entry/organization/oramics-studios/index.md
polish-radio-experimental-studio,Polish Radio Experimental Studio,organization,organization,research,research;music,yes,high,"One of Europe's first electronic music studios, influential on Polish musical life.",content/library/entry/organization/polish-radio-experimental-studio/index.md
ppg,PPG,organization,organization,research,research;music,yes,high,"German wavetable synthesizer manufacturer, built modulars for Tangerine Dream.",content/library/entry/organization/ppg/index.md
princeton-computer-music-center,Princeton Computer Music Center,organization,organization,research,research;music,yes,high,Extended Max Mathews' MUSIC language into MUSIC4BF for computer composition.,content/library/entry/organization/princeton-computer-music-center/index.md
rand-corporation,RAND Corporation,organization,organization,research,research,no,high,"Systems analysis, game theory, and computing research institute; no musical activity described.",content/library/entry/organization/rand-corporation/index.md
raster-noton,Raster-Noton,organization,organization,research,research;music,yes,high,Leading minimal/rhythmic experimental electronic music label.,content/library/entry/organization/raster-noton/index.md
roland-corporation,Roland Corporation,organization,organization,research,research;music,yes,high,Major Japanese synthesizer/drum machine manufacturer.,content/library/entry/organization/roland-corporation/index.md
rossum-electro-music,Rossum Electro-Music,organization,organization,research,research;music,yes,high,Dave Rossum's Eurorack modular synthesis company.,content/library/entry/organization/rossum-electro-music/index.md
san-francisco-tape-music-center,San Francisco Tape Music Center,organization,organization,research,research;music,yes,high,Bay Area studio/collective; commissioned the first Buchla modular system.,content/library/entry/organization/san-francisco-tape-music-center/index.md
sequential,Sequential,organization,organization,research,research;music,yes,high,Built the Prophet-5 and drove the MIDI specification.,content/library/entry/organization/sequential/index.md
serge-modular-music-systems,Serge Modular Music Systems,organization,organization,research,research;music,yes,high,Serge Tcherepnin's influential low-cost modular synthesizer company.,content/library/entry/organization/serge-modular-music-systems/index.md
siemens-studio-fur-elektronische-musik,Siemens-Studio für elektronische Musik,organization,organization,research,research;music,yes,high,Munich electronic music studio built around the Siemens Synthesizer.,content/library/entry/organization/siemens-studio-fur-elektronische-musik/index.md
steim,STEIM,organization,organization,research,research;music,yes,high,Amsterdam studio for hands-on live-electronic instrument building.,content/library/entry/organization/steim/index.md
sts,Sound Transform Systems (STS),organization,organization,research,research;music,yes,high,Successor company continuing Serge modular synthesizer manufacturing.,content/library/entry/organization/sts/index.md
studio-d-essai,Studio d'Essai,organization,organization,research,research;music,yes,high,"Wartime French radio studio, ancestor of the GRM lineage.",content/library/entry/organization/studio-d-essai/index.md
studio-di-fonologia-musicale-rai-milano,Studio di Fonologia Musicale della RAI di Milano,organization,organization,research,research;music,yes,high,"Europe's third major electronic music studio, hosted Nono, Cage, Pousseur.",content/library/entry/organization/studio-di-fonologia-musicale-rai-milano/index.md
studio-fur-elektronische-musik-des-wdr,Studio für elektronische Musik des WDR,organization,organization,research,research;music,yes,high,World's first purpose-built electronic music studio; Stockhausen's base.,content/library/entry/organization/studio-fur-elektronische-musik-des-wdr/index.md
