id,title,public_type,specific_type,decision,confidence,current_subjects,proposed_subjects,add,remove,taxonomy_gap,rationale,summary,source_path
free-improvisation,Free Improvisation,concept,concept,retain,high,sound|time,time|sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Improvised music committed to non-idiomatic playing, without preset harmony, tonality, or stylistic vocabulary.",content/library/concept/free-improvisation/index.md
frequency-modulation,Frequency modulation (synthesis),concept,concept,change,high,computation|sound,number|computation|sound,number,,Signal,"Adds Number because the record explicitly concerns mathematical quantity, ratio, measurement, or numerical structure.",Generating complex timbres by using one oscillator's output to modulate another's frequency at audio rate.,content/library/concept/frequency-modulation/index.md
governor,Governor,concept,concept,change,high,feedback|cybernetics,dynamics|cybernetics|feedback,dynamics,,,"Adds Dynamics because the record explicitly concerns state change, oscillation, stability, or evolving systems.",A device that automatically regulates a machine's speed by feeding its output back as a correction to its input — the historical root of the word cybernetics.,content/library/concept/governor/index.md
granular-synthesis,Granular synthesis,concept,concept,retain,high,computation|sound|time,time|computation|sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Building sound from many brief grains of audio, reassembled with independent control over density, pitch, and position.",content/library/concept/granular-synthesis/index.md
harmolodics,Harmolodics,concept,concept,change,high,sound|form,time|form|sound,time,,,"Adds Time because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence.","Ornette Coleman's theory of harmony, melody, and rhythm holding equal, simultaneous position, developed through the 1970s-80s.",content/library/concept/harmolodics/index.md
hilbert-transform,Hilbert Transform,concept,concept,change,high,computation|sound,number|computation|sound,number,,Signal,"Adds Number because the record explicitly concerns mathematical quantity, ratio, measurement, or numerical structure.","A linear operator that shifts every frequency component of a signal by 90°, used to construct the analytic signal and recover instantaneous phase, frequency, and amplitude.",content/library/concept/hilbert-transform/index.md
limit-cycle,Limit cycle,concept,concept,change,high,dynamics,time|form|dynamics,time|form,,,"Adds Time, Form because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence; structure, pattern, topology, or organization.","An isolated closed trajectory in a dynamical system's phase space that nearby states spiral toward, or away from — the mathematical signature of a stable, self-sustaining oscillation.",content/library/concept/limit-cycle/index.md
manifold,Manifold,concept,concept,change,high,form|space,number|form|space,number,,,"Adds Number because the record explicitly concerns mathematical quantity, ratio, measurement, or numerical structure.","A space that locally resembles ordinary flat (Euclidean) space, even where its overall shape is curved or otherwise complex.",content/library/concept/manifold/index.md
memory,Memory,concept,concept,change,medium,cybernetics|memory|computation,time|cybernetics|computation|memory,time,,,"Adds Time because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence.","A system's capacity to retain past states and let them shape future behavior — a basic requirement for learning, control, and computation alike.",content/library/concept/memory/index.md
phase,Phase,concept,concept,change,high,time|computation,time|number|computation,number,,Signal,"Adds Number because the record explicitly concerns mathematical quantity, ratio, measurement, or numerical structure.","The position of a periodic waveform within its cycle, and the basis for describing how two periodic signals align or diverge over time.",content/library/concept/phase/index.md
phase-modulation,Phase modulation (synthesis),concept,concept,change,high,computation|sound,time|computation|sound,time,,Signal,"Adds Time because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence.",Generating FM-like timbres by modulating an oscillator's phase rather than its frequency directly.,content/library/concept/phase-modulation/index.md
pll,Phase-locked loop (PLL),concept,concept,change,high,feedback,time|dynamics|feedback,time|dynamics,,Signal,"Adds Time, Dynamics because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence; state change, oscillation, stability, or evolving systems.",A feedback circuit that continuously adjusts an oscillator's phase and frequency to match a reference signal.,content/library/concept/pll/index.md
physical-modeling,Physical modeling (synthesis),concept,concept,change,medium,computation|sound,dynamics|computation|sound|instruments,dynamics|instruments,,,"Adds Dynamics, Instruments because the record explicitly concerns state change, oscillation, stability, or evolving systems; instrument design, interfaces, controllers, apparatus, or instrumentality.",Simulating the physical behavior of a real instrument's vibrating and resonating parts to generate its sound.,content/library/concept/physical-modeling/index.md
pid-controller,PID controller,concept,concept,change,medium,feedback|cybernetics,dynamics|cybernetics|computation|feedback,dynamics|computation,,,"Adds Dynamics, Computation because the record explicitly concerns state change, oscillation, stability, or evolving systems; algorithms, programming, formal processing, or machine computation.","A control algorithm that corrects a system's error using three combined terms — proportional, integral, and derivative — the standard formal method behind most feedback control.",content/library/concept/pid-controller/index.md
quadrature,Quadrature,concept,concept,change,high,time|computation,time|number|computation,number,,Signal,"Adds Number because the record explicitly concerns mathematical quantity, ratio, measurement, or numerical structure.","Two periodic signals offset by exactly a quarter cycle (90°) — the relationship behind quadrature oscillators, phase detection, and stereo/spatial encoding.",content/library/concept/quadrature/index.md
serialism,Serialism,concept,concept,retain,high,sound|form|number,number|form|sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Composing from an ordered series of pitches or other musical elements, originating with Schoenberg's twelve-tone technique.",content/library/concept/serialism/index.md
servo,Servo (servomechanism),concept,concept,change,high,feedback,dynamics|cybernetics|feedback,dynamics|cybernetics,,,"Adds Dynamics, Cybernetics because the record explicitly concerns state change, oscillation, stability, or evolving systems; control, regulation, communication, adaptation, or observer–system relations.",A feedback control system that continuously compares a mechanism's actual position or speed against a target and corrects the error.,content/library/concept/servo/index.md
state-machine,State machine,concept,concept,change,high,computation,time|computation|memory,time|memory,,Information,"Adds Time, Memory because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence; storage, recording, retention, recall, or past state affecting future behavior.",An abstract model of computation consisting of a finite set of states and the rules that transition between them in response to input.,content/library/concept/state-machine/index.md
subtractive-synthesis,Subtractive synthesis,concept,concept,retain,high,computation|sound,computation|sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Shaping a harmonically rich source waveform by filtering out frequencies, rather than building a tone up from nothing.",content/library/concept/subtractive-synthesis/index.md
total-serialism,Total Serialism,concept,concept,change,medium,sound|form|number,time|number|form|sound,time,,,"Adds Time because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence.","Extending serial ordering beyond pitch to duration, dynamics, and timbre, pioneered by Messiaen, Boulez, and Stockhausen.",content/library/concept/total-serialism/index.md
tuple,Tuple,concept,concept,change,high,number|computation,number|form|computation,form,,,"Adds Form because the record explicitly concerns structure, pattern, topology, or organization.","A finite, ordered sequence of elements — the general form behind coordinates, database records, and structured data of every kind.",content/library/concept/tuple/index.md
turing-machine,Turing machine,concept,concept,change,high,computation,computation|memory,memory,,Information,"Adds Memory because the record explicitly concerns storage, recording, retention, recall, or past state affecting future behavior.","An abstract model of computation — an infinite tape, a read/write head, and a finite table of rules — that defines what it means for a function to be computable at all.",content/library/concept/turing-machine/index.md
variety,Variety,concept,concept,change,high,cybernetics,number|cybernetics,number,,,"Adds Number because the record explicitly concerns mathematical quantity, ratio, measurement, or numerical structure.","In cybernetics, the number of distinguishable states a system can take on — and, per Ashby's Law of Requisite Variety, the true measure of a regulator's power to control.",content/library/concept/variety/index.md
vector,Vector,concept,concept,change,medium,number|form,number|form|computation|space,computation|space,,,"Adds Computation, Space because the record explicitly concerns algorithms, programming, formal processing, or machine computation; spatial organization, geometry, environments, distribution, or spatialization.","A quantity with both magnitude and direction, represented as an ordered set of components — one of the basic building blocks of geometry, physics, and computation.",content/library/concept/vector/index.md
viable-system-model,Viable System Model,concept,concept,change,high,cybernetics|feedback,form|cybernetics|feedback,form,,,"Adds Form because the record explicitly concerns structure, pattern, topology, or organization.","Stafford Beer's model of organizational structure, mapped by analogy to the nervous system, recursively nesting five subsystems.",content/library/concept/viable-system-model/index.md
wavefolding,Wavefolding,concept,concept,change,high,computation|sound,form|computation|sound,form,,,"Adds Form because the record explicitly concerns structure, pattern, topology, or organization.","Reflecting a waveform back on itself once it crosses a threshold, generating additional harmonics.",content/library/concept/wavefolding/index.md
wavetable-synthesis,Wavetable synthesis,concept,concept,change,medium,computation|sound,time|computation|sound|memory,time|memory,,,"Adds Time, Memory because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence; storage, recording, retention, recall, or past state affecting future behavior.",Storing successive single-cycle waveforms in memory and scanning between them to shape timbre.,content/library/concept/wavetable-synthesis/index.md
cybernetic-serendipity,Cybernetic Serendipity,event,event,retain,high,cybernetics|computation|perception,cybernetics|computation|perception,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","The 1968 ICA London exhibition that introduced cybernetic, computer, and electronic art to a mass audience.",content/library/event/cybernetic-serendipity/index.md
expo-70,Expo '70,event,event,change,review,sound,,,sound,,"The event is contextual infrastructure for the Pepsi Pavilion branch. Sound is not a substantial concern of the Expo ’70 record itself, so no Subject is preferable.","The 1970 World Exposition in Osaka, Japan, host to the experimental Pepsi Pavilion.",content/library/event/expo-70/index.md
live-programming-at-the-pepsi-pavilion,Live Programming at the Pepsi Pavilion,event,event,change,medium,sound|space,time|sound|instruments|space,time|instruments,,,"Adds Time, Instruments because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence; instrument design, interfaces, controllers, apparatus, or instrumentality.",The changing program of live performance and presentation hosted within the Pepsi Pavilion during Expo '70.,content/library/event/live-programming-at-the-pepsi-pavilion/index.md
amm,AMM,group,group,retain,high,sound|perception,sound|perception,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Pioneering British electroacoustic improvisation group with a 50-year history,content/library/group/amm/index.md
aube,Aube,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Akifumi Nakajima's Kyoto noise project, each record built by processing a single manipulated sound source.",content/library/group/aube/index.md
borbetomagus,Borbetomagus,group,group,change,high,sound|feedback,sound,,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","New York free-jazz/noise trio formed 1979, known for overwhelming volume and saxophones played bell-to-bell.",content/library/group/borbetomagus/index.md
cccc,C.C.C.C.,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Japanese noise group active from 1989, named after John C. Lilly's cosmic hierarchy.",content/library/group/cccc/index.md
cluster,Cluster,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",German electronic duo central to krautrock and ambient electronics.,content/library/group/cluster/index.md
coil,Coil,group,group,change,high,sound|feedback,sound,,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","British experimental group formed by John Balance and Peter Christopherson in 1984, exploring the occult and dark ambient.",content/library/group/coil/index.md
composers-inside-electronics,Composers Inside Electronics,group,group,retain,high,sound|instruments|feedback,sound|instruments|feedback,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","David Tudor's live-electronics ensemble, formed 1973 to collaboratively realize Rainforest IV.",content/library/group/composers-inside-electronics/index.md
devo,Devo,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American new wave group from Akron, Ohio, formed 1973, known for its satirical de-evolution concept and Brian Eno-produced debut.",content/library/group/devo/index.md
faust,Faust,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","German krautrock group formed 1970 by producer Uwe Nettelbeck, pioneers of tape-collage studio composition.",content/library/group/faust/index.md
gastr-del-sol,Gastr del Sol,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Chicago experimental duo of David Grubbs and Jim O'Rourke, active 1993–1998.",content/library/group/gastr-del-sol/index.md
government-alpha,Government Alpha,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Yasutoshi Yoshida's Tokyo noise project, active since 1992, released chiefly through his own Xerxes label.",content/library/group/government-alpha/index.md
gruppo-di-improvvisazione-nuova-consonanza,Gruppo di Improvvisazione Nuova Consonanza,group,group,change,high,sound|feedback,sound,,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","Rome free-improvisation collective founded 1964 by Franco Evangelisti, among the first experimental-composer collectives.",content/library/group/gruppo-di-improvvisazione-nuova-consonanza/index.md
hands-to,Hands To,group,group,change,high,sound,sound|instruments,instruments,,,"Adds Instruments because the record explicitly concerns instrument design, interfaces, controllers, apparatus, or instrumentality.","Jeph Jerman's project built from found natural objects, homemade devices, and tape, active from the mid-1980s.",content/library/group/hands-to/index.md
harmonia,Harmonia,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","German electronic trio of Michael Rother, Hans-Joachim Roedelius, and Dieter Moebius, formed 1973 in Forst.",content/library/group/harmonia/index.md
illusion-of-safety,Illusion of Safety,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Daniel Burke's long-running Chicago post-industrial project, formed 1983.",content/library/group/illusion-of-safety/index.md
incapacitants,Incapacitants,group,group,retain,high,sound|feedback,sound|feedback,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Toshiji Mikawa and Fumio Kosakai's Japanese noise duo, active since 1981, pursuing 'pure' noise built from feedback and vocals.",content/library/group/incapacitants/index.md
k2,K2,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Kimihide Kusafuka's Japanese noise project, active since the early 1980s, built from metal and machinery.",content/library/group/k2/index.md
kraftwerk,Kraftwerk,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",German electronic group foundational to synthpop and electronic music.,content/library/group/kraftwerk/index.md
league-of-automatic-music-composers,League of Automatic Music Composers,group,group,retain,high,computation|sound|feedback|instruments,computation|sound|feedback|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Pioneering late-1970s Bay Area ensemble performing live music with a network of microcomputers.,content/library/group/league-of-automatic-music-composers/index.md
louis-and-bebe-barron,Louis and Bebe Barron,group,group,change,high,sound|feedback,sound|instruments|feedback,instruments,,,"Adds Instruments because the record explicitly concerns instrument design, interfaces, controllers, apparatus, or instrumentality.","American pioneers of electronic music who built circuits as living, dying sound.",content/library/group/louis-and-bebe-barron/index.md
macronympha,Macronympha,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",American harsh noise project founded in Pittsburgh in 1990 by Joseph Roemer and Rodger Stella.,content/library/group/macronympha/index.md
masonna,Masonna,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Maso Yamazaki's Osaka noise project, known for destructive, often seconds-long live performances.",content/library/group/masonna/index.md
mb,MB,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Maurizio Bianchi's Italian industrial/noise project, active 1979–1983 and resumed in 1998.",content/library/group/mb/index.md
merzbow,Merzbow,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",The king of noise.,content/library/group/merzbow/index.md
mev,MEV,group,group,change,high,sound|instruments|feedback,sound|instruments,,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","Musica Elettronica Viva — Rome electroacoustic improvisation ensemble, founded 1966 by Alvin Curran, Frederic Rzewski, and Richard Teitelbaum.",content/library/group/mev/index.md
microstoria,Microstoria,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Experimental electronic duo of Markus Popp (Oval) and Jan St. Werner (Mouse on Mars), formed in Düsseldorf in 1994.",content/library/group/microstoria/index.md
monde-bruits,Monde Bruits,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Shohei Iwasaki's Osaka noise project, active from among the earliest years of Japan's noise scene until his death in 2005.",content/library/group/monde-bruits/index.md
morphogenesis-band,Morphogenesis,group,group,change,high,sound|feedback,sound|instruments,instruments,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","British free-improvisation and noise group, formed in London in 1985.",content/library/group/morphogenesis-band/index.md
mother-mallard,Mother Mallard's Portable Masterpiece Company,group,group,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","David Borden's early synthesizer ensemble, founded in Ithaca in 1969 with the support of Robert Moog.",content/library/group/mother-mallard/index.md
music-improvisation-company,Music Improvisation Company,group,group,change,high,sound|feedback,sound,,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","London free-improvisation quartet active 1968-1971, pairing Derek Bailey's guitar and Evan Parker's saxophone with live electronics and percussion.",content/library/group/music-improvisation-company/index.md
negativland,Negativland,group,group,retain,high,sound|language,sound|language,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",American experimental collective behind the 1991 'U2' single lawsuit and the term 'culture jamming.',content/library/group/negativland/index.md
neu,Neu!,group,group,retain,high,sound|time,sound|time,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Düsseldorf krautrock duo of Klaus Dinger and Michael Rother, formed 1971 after both left Kraftwerk.",content/library/group/neu/index.md
nurse-with-wound,Nurse With Wound,group,group,change,high,sound|feedback,sound,,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","Steven Stapleton's project, formed in London in 1978, foundational to industrial and avant-garde music.",content/library/group/nurse-with-wound/index.md
omit,Omit,group,group,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Electronic composer.,content/library/group/omit/index.md
organum,Organum,group,group,retain,high,sound|perception,sound|perception,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","David Jackman's long-running project of dense, ritualistic drone built from acoustic and processed sources.",content/library/group/organum/index.md
p16d4,P16.D4,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","German experimental/industrial group formed 1980, working in tape manipulation and musique concrète.",content/library/group/p16d4/index.md
painjerk,Pain Jerk,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Kohei Gomi's long-running Japanese noise project, cited alongside Merzbow as a leading exponent of noise's dense, loop-driven ""dynamic"" style.",content/library/group/painjerk/index.md
pan-sonic,Pan Sonic,group,group,change,high,sound,sound|instruments,instruments,,,"Adds Instruments because the record explicitly concerns instrument design, interfaces, controllers, apparatus, or instrumentality.","Finnish duo making minimal, physically intense electronic music from custom-built oscillators and pulse generators.",content/library/group/pan-sonic/index.md
pbk,PBK,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Phillip B. Klingler's noise/drone project, active since 1986, moving from visual art and mail art into electroacoustic composition.",content/library/group/pbk/index.md
ramleh,Ramleh,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",UK power electronics and noise-rock group founded by Gary Mundy in 1982.,content/library/group/ramleh/index.md
smegma,Smegma,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Los Angeles Free Music Society-affiliated experimental noise and free-improvisation group active since 1973.,content/library/group/smegma/index.md
snd-band,SND,group,group,change,medium,sound|computation|tuning,time|form|computation|sound,time|form,tuning,,"The record concerns electronic sound, sustained tones, or test-tone-like material, but it does not describe a pitch system, temperament, intonation practice, scale, or ratio structure.","Mark Fell and Mat Steel's Sheffield duo, formed 1998, pioneering algorithmic click-based digital minimalism.",content/library/group/snd-band/index.md
solmania,Solmania,group,group,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Masahiko Ohno's Osaka noise project, built around multi-necked electric guitars of his own construction.",content/library/group/solmania/index.md
sonic-arts-union,Sonic Arts Union,group,group,change,high,sound|feedback,sound|instruments,instruments,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","Robert Ashley, David Behrman, Alvin Lucier, and Gordon Mumma's live-electronics collective, active 1966-1976.",content/library/group/sonic-arts-union/index.md
space-machine,Space Machine,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Masonna's analogue electronic side project, exploring cosmic, non-rhythmic synthesis apart from his noise work.",content/library/group/space-machine/index.md
tangerine-dream,Tangerine Dream,group,group,change,high,sound|instruments,time|sound|instruments,time,,,"Adds Time because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence.","German electronic group founded by Edgar Froese in 1967, pioneers of sequencer-driven Berlin School electronic music.",content/library/group/tangerine-dream/index.md
the-haters,The Haters,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","GX Jupitter-Larsen's long-running noise and destruction-art project, active since the late 1970s.",content/library/group/the-haters/index.md
the-new-blockaders,The New Blockaders,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","British noise duo, founded early 1980s, whose Changez les Blockeurs is widely cited as the first true noise record of the modern era.",content/library/group/the-new-blockaders/index.md
theatre-of-eternal-music,Theatre of Eternal Music,group,group,retain,high,sound|time|tuning,sound|time|tuning,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","La Monte Young's drone ensemble, formed in New York in 1962, later known as The Dream Syndicate.",content/library/group/theatre-of-eternal-music/index.md
throbbing-gristle,Throbbing Gristle,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",British industrial group pioneering industrial music and culture.,content/library/group/throbbing-gristle/index.md
violent-onsen-geisha,Violent Onsen Geisha,group,group,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Masaya Nakahara's Tokyo noise project, active from 1988 alongside his work as a writer and, later, actor.",content/library/group/violent-onsen-geisha/index.md
voice-crack,Voice Crack,group,group,change,high,sound|instruments|feedback,sound|instruments,,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.",Swiss duo (Andy Guhl and Norbert Möslang) performing with cracked everyday electronics.,content/library/group/voice-crack/index.md
wolf-eyes,Wolf Eyes,group,group,change,high,sound|feedback,sound,,feedback,,"The record does not establish an explicit recursive output-to-input loop. Feedback is removed rather than inferred from cybernetic association, electronic practice, noise, circuitry, or one-way signal translation.","Michigan noise group formed by Nate Young in 1996, later a duo with John Olson.",content/library/group/wolf-eyes/index.md
american-tapes,American Tapes,organization,organization,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","John Olson's Detroit noise/drone cassette label, founded 1991, known for elaborate handmade packaging.",content/library/organization/american-tapes/index.md
arp-instruments,ARP Instruments,organization,organization,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American synthesizer manufacturer founded by Alan R. Pearlman, active 1969–1981.",content/library/organization/arp-instruments/index.md
